epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,35682.5,1.25955,0.82202,1.06547,0.76719,0.75168,0.78637,0.48832,1.8798,1.23765,1.37639,0.0040105,0.0040105,0.0040105
123,35974.6,1.25841,0.83269,1.06919,0.78223,0.72346,0.78676,0.48243,1.87809,1.2451,1.38079,0.003961,0.003961,0.003961
124,36267.2,1.25428,0.82287,1.06558,0.77922,0.73266,0.78193,0.47678,1.87685,1.25087,1.38202,0.0039115,0.0039115,0.0039115
125,36559.5,1.24182,0.80828,1.05946,0.75907,0.74541,0.77958,0.48269,1.87818,1.25785,1.38297,0.003862,0.003862,0.003862
126,36851.6,1.23677,0.81097,1.06106,0.78814,0.71751,0.77856,0.4797,1.87794,1.26203,1.38281,0.0038125,0.0038125,0.0038125
127,37144.1,1.23999,0.80949,1.05758,0.73837,0.76198,0.78453,0.48501,1.88242,1.26604,1.38681,0.003763,0.003763,0.003763
128,37436.8,1.23956,0.82053,1.05887,0.73569,0.77609,0.78731,0.48514,1.87645,1.26232,1.38508,0.0037135,0.0037135,0.0037135
129,37728.8,1.2146,0.79637,1.04997,0.75744,0.75925,0.78531,0.48376,1.8819,1.26829,1.39129,0.003664,0.003664,0.003664
130,38020.9,1.22533,0.80605,1.05475,0.76844,0.76133,0.78693,0.48103,1.88427,1.26697,1.39056,0.0036145,0.0036145,0.0036145
131,38313.5,1.23175,0.80778,1.06328,0.75993,0.75215,0.78621,0.4851,1.88285,1.27681,1.38802,0.003565,0.003565,0.003565
132,38605.8,1.22828,0.79948,1.05462,0.76727,0.74513,0.78854,0.49174,1.87981,1.2746,1.38975,0.0035155,0.0035155,0.0035155
133,38895.3,1.21408,0.79049,1.0536,0.75709,0.75796,0.78177,0.48543,1.88227,1.27532,1.39229,0.003466,0.003466,0.003466
134,39182.9,1.21449,0.78719,1.05016,0.77958,0.74602,0.78473,0.48417,1.88324,1.28142,1.39559,0.0034165,0.0034165,0.0034165
135,39470.5,1.22698,0.80249,1.05182,0.77812,0.75302,0.78369,0.48163,1.88495,1.28531,1.39985,0.003367,0.003367,0.003367
136,39757.5,1.20258,0.77811,1.04864,0.75582,0.75832,0.78311,0.48101,1.89068,1.28786,1.40241,0.0033175,0.0033175,0.0033175
137,40044.6,1.20196,0.78089,1.04473,0.7703,0.74714,0.78062,0.48081,1.89076,1.28738,1.40482,0.003268,0.003268,0.003268
138,40333.4,1.21798,0.79717,1.04637,0.76995,0.75725,0.77964,0.47888,1.88617,1.29054,1.39811,0.0032185,0.0032185,0.0032185
139,40625.5,1.2002,0.76591,1.04448,0.78066,0.73065,0.78088,0.47826,1.884,1.29496,1.39643,0.003169,0.003169,0.003169
140,40918,1.20301,0.78705,1.04923,0.74797,0.76096,0.77729,0.48369,1.88525,1.29561,1.40415,0.0031195,0.0031195,0.0031195
141,41210.2,1.19491,0.77356,1.03993,0.76498,0.74218,0.77835,0.48124,1.88913,1.29883,1.41048,0.00307,0.00307,0.00307
142,41502.4,1.18261,0.76857,1.03911,0.73769,0.78138,0.78241,0.48423,1.89028,1.30037,1.41191,0.0030205,0.0030205,0.0030205
143,41794.4,1.18184,0.76231,1.03355,0.76017,0.75728,0.78048,0.48123,1.89118,1.30058,1.41116,0.002971,0.002971,0.002971
144,42087,1.18007,0.76191,1.0427,0.7669,0.75988,0.77923,0.48064,1.89466,1.30843,1.41255,0.0029215,0.0029215,0.0029215
145,42379.2,1.17497,0.75983,1.03717,0.7842,0.73687,0.77876,0.48026,1.89369,1.31358,1.41516,0.002872,0.002872,0.002872
146,42671.3,1.16519,0.75683,1.03328,0.80337,0.7187,0.77941,0.47774,1.89449,1.31608,1.41446,0.0028225,0.0028225,0.0028225
147,42963.2,1.16054,0.75259,1.03186,0.78415,0.74,0.78065,0.48195,1.89314,1.32214,1.41356,0.002773,0.002773,0.002773
148,43255.3,1.15482,0.73585,1.02355,0.76542,0.75991,0.7805,0.48173,1.89466,1.32563,1.41643,0.0027235,0.0027235,0.0027235
149,43547.2,1.16345,0.75437,1.0313,0.79956,0.73698,0.78,0.48366,1.8941,1.32678,1.41738,0.002674,0.002674,0.002674
150,43839.4,1.15633,0.74521,1.02289,0.80292,0.73656,0.78082,0.48077,1.89317,1.32694,1.41974,0.0026245,0.0026245,0.0026245
151,44131.8,1.15439,0.73903,1.02784,0.8052,0.73572,0.78294,0.48292,1.89316,1.32681,1.42376,0.002575,0.002575,0.002575
152,44424,1.14188,0.73347,1.02352,0.78376,0.75705,0.78438,0.48498,1.89521,1.33058,1.4298,0.0025255,0.0025255,0.0025255
153,44716,1.14895,0.74227,1.02754,0.77548,0.76093,0.78266,0.48324,1.89446,1.33527,1.42681,0.002476,0.002476,0.002476
154,45008.2,1.14769,0.73727,1.02713,0.79308,0.74218,0.7813,0.48438,1.89912,1.33814,1.432,0.0024265,0.0024265,0.0024265
155,45300.1,1.1467,0.73683,1.02627,0.78298,0.75789,0.78022,0.48465,1.89698,1.33707,1.42783,0.002377,0.002377,0.002377
156,45592.6,1.14596,0.74056,1.02373,0.78691,0.75038,0.78291,0.48896,1.89509,1.34354,1.4251,0.0023275,0.0023275,0.0023275
157,45884.7,1.13786,0.73717,1.02288,0.78792,0.75204,0.78244,0.48437,1.88977,1.34495,1.42148,0.002278,0.002278,0.002278
158,46177,1.13374,0.73244,1.01811,0.77145,0.76814,0.77994,0.48411,1.89129,1.34826,1.42217,0.0022285,0.0022285,0.0022285
159,46469.1,1.1416,0.72999,1.02154,0.78334,0.75566,0.78066,0.48404,1.89381,1.34855,1.42514,0.002179,0.002179,0.002179
160,46760.8,1.11325,0.71645,1.01932,0.7857,0.75373,0.78133,0.48317,1.89543,1.34259,1.42702,0.0021295,0.0021295,0.0021295
161,47052.8,1.11606,0.71268,1.01667,0.77429,0.76956,0.78106,0.4849,1.89545,1.34693,1.42664,0.00208,0.00208,0.00208
162,47344.8,1.1245,0.72033,1.01528,0.77419,0.76947,0.7799,0.48204,1.89708,1.3532,1.42921,0.0020305,0.0020305,0.0020305
163,47636.5,1.11395,0.71837,1.01763,0.76586,0.77619,0.78125,0.48049,1.89992,1.35718,1.43344,0.001981,0.001981,0.001981
164,47928.5,1.1116,0.70917,1.00977,0.76741,0.78236,0.78023,0.48056,1.90011,1.35963,1.43451,0.0019315,0.0019315,0.0019315
165,48220.2,1.09615,0.7009,1.01185,0.75884,0.7819,0.77581,0.48002,1.89704,1.36105,1.43485,0.001882,0.001882,0.001882
166,48512,1.11598,0.71397,1.01043,0.7616,0.77617,0.77717,0.48291,1.89747,1.36495,1.43624,0.0018325,0.0018325,0.0018325
167,48804.2,1.09449,0.69403,1.00822,0.77972,0.75786,0.77785,0.48481,1.89823,1.37215,1.43723,0.001783,0.001783,0.001783
168,49096.3,1.09621,0.70485,1.01075,0.7807,0.75577,0.77782,0.48347,1.89938,1.37328,1.43964,0.0017335,0.0017335,0.0017335
169,49388.3,1.09452,0.70518,1.00752,0.77011,0.7642,0.77764,0.48316,1.89949,1.37733,1.4401,0.001684,0.001684,0.001684
170,49680.4,1.09117,0.69541,1.01261,0.7782,0.75321,0.77674,0.48506,1.89961,1.37619,1.44172,0.0016345,0.0016345,0.0016345
171,49972.7,1.08827,0.6921,1.00803,0.79452,0.74063,0.77693,0.48454,1.90045,1.37922,1.44425,0.001585,0.001585,0.001585
172,50264.8,1.09097,0.70584,1.00692,0.79621,0.73455,0.77421,0.48123,1.90187,1.38075,1.44609,0.0015355,0.0015355,0.0015355
173,50557,1.08811,0.69589,1.00342,0.7949,0.73726,0.77753,0.48339,1.90259,1.38034,1.4475,0.001486,0.001486,0.001486
174,50849.1,1.09588,0.70303,1.00804,0.7635,0.76857,0.77835,0.48425,1.90399,1.38155,1.44996,0.0014365,0.0014365,0.0014365
175,51141.2,1.06104,0.67745,0.99726,0.80093,0.73884,0.77595,0.48549,1.90209,1.38844,1.44791,0.001387,0.001387,0.001387
